Title,Citation
How to effectively use topic models for software engineering tasks? an approach based on genetic algorithms,205
How to make best use of cross-company data in software effort estimation?,41
How well are regular expressions tested in the wild?,5
"How, and why, process metrics are better",176
Human Competitiveness of Genetic Programming in Spectrum-Based Fault Localisation: Theoretical and Empirical Analysis,11
Human performance regression testing,13
HybriDroid: static analysis framework for Android hybrid applications,29
Hybrid Program Dependence Approximation for Effective Dynamic Impact Prediction,1
Hybrid regression test selection,19
IccTA: detecting inter-component privacy leaks in Android apps,350
Identification of Move Method Refactoring Opportunities,256
"Identification, Impact, and Refactoring of Smells in Pipe-Like Web Mashups",19
Identifying Code of Individual Features in Client-Side Web Applications,28
Identifying Extract Method Refactoring Opportunities Based on Functional Relevance,11
Identifying Linux bug fixing patches,90
Identifying Renaming Opportunities by Expanding Conducted Rename Refactorings,8
Identifying and Summarizing Systematic Code Changes via Rule Inference,53
Identifying and quantifying architectural debt,39
Identifying crosscutting concerns using historical code changes,54
Identifying design problems in the source code: a grounded theory,5
Identifying domain elements from textual specifications,7
Identifying execution points for dynamic analyses,3
Identifying features in forks,4
Identifying future field accesses in exhaustive state space traversal,15
Identifying impactful service system problems via log analysis,2
Identifying message flow in distributed event-based systems,29
Identifying patch correctness in test-based program repair,25
Impact of Budget and Schedule Pressure on Software Development Cycle Time and Effort,95
Impact of developer turnover on quality in open-source software,37
Impact-Driven Process Model Repair,32
Implementing and Evaluating Candidate-Based Invariant Generation,3
Imprecise Matching of Requirements Specifications for Software Services Using Fuzzy Logic,7
Improved Evolutionary Algorithm Design for the Project Scheduling Problem Based on Runtime Analysis,36
Improved query reformulation for concept location using CodeRank and document structures,6
Improving API documentation usability with knowledge pushing,104
Improving Automated Bug Triaging with Specialized Topic Model,38
Improving IR-based bug localization with context-aware query reformulation,7
Improving Multi-Objective Test Case Selection by Injecting Diversity in Genetic Algorithms,54
Improving Source Code Lexicon via Traceability and Information Retrieval,61
Improving automated documentation to code traceability by combining retrieval techniques,46
Improving automated source code summarization via an eye-tracking study of programmers,97
Improving automatic source code summarization via deep reinforcement learning,7
Improving bug localization using structured information retrieval,178
Improving bug triage with bug tossing graphs,376
Improving early detection of software merge conflicts,93
Improving feature location practice with multi-faceted interactive exploration,39
Improving model-based test generation by model decomposition,2
Improving refactoring speed by 10X,17
Improving slice accuracy by compression of data and control flow paths,10
Improving software modularization via automated analysis of latent topics and dependencies,88
Improving software text retrieval using conceptual knowledge in source code,3
Improving the accuracy of oracle verdicts through automated model steering,5
Improving the effectiveness of spectra-based fault localization using specifications,40
Improving trace accuracy through data-driven configuration and composition of tracing features,61
In-field healing of integration problems with COTS components,33
In-memory fuzzing for binary code similarity analysis,8
IncA: a DSL for the definition of incremental program analyses,24
Incremental Test Generation for Software Product Lines,91
Incrementally synthesizing controllers from scenario-based product line specifications,28
Inductive verification of data model invariants for web applications,16
Inferring Extended Probabilistic Finite-State Automaton Models from Software Executions,2
"Inferring Loop Invariants by Mutation, Dynamic Analysis, and Static Checking",12
Inferring and asserting distributed system invariants,6
Inferring annotations for device drivers from verification histories,7
Inferring class level specifications for distributed systems,24
Inferring hierarchical motifs from execution traces,6
Inferring likely mappings between APIs,41
Inferring method specifications from natural language API descriptions,113
Inferring models of concurrent systems from logs of their behavior with CSight,87
Inferring project-specific bug patterns for detecting sibling bugs,9
Inflow and Retention in OSS Communities with Commercial Involvement: A Case Study of Three Hybrid Projects,23
Influence of social and technical factors for evaluating contribution in GitHub,198
Information flows as a permission mechanism,43
Information retrieval and spectrum based bug localization: better together,63
Inheritance usage patterns in open-source systems,1
Inner Source in Platform-Based Product Engineering,13
"Input Domain Reduction through Irrelevant Variable Removal and Its Effect on Local, Global, and Hybrid Search-Based Structural Test Data Generation",66
Input-Sensitive Profiling,15
Insights from expert software design practice,42
Instance Generator and Problem Representation to Improve Object Oriented Code Coverage,46
IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions,5
Integer Linear Programming-Based Property Checking for Asynchronous Reactive Systems,5
Integer Parameter Synthesis for Real-Time Systems,50
Integrated impact analysis for managing software changes,124
Integrating adaptive user interface capabilities in enterprise applications,17
Integrating legacy systems with MDE,19
Integrating technical debt management and software quality management processes: a framework and field tests,4
Intelligent Code Completion with Bayesian Networks,27
Interacting process classes,14
Interaction Models and Automated Control under Partial Observable Environments,5
Interaction-based test-suite minimization,35
Interactive code review for systematic changes,40
"Interactive, Evolutionary Search in Upstream Object-Oriented Class Design",85
Interpolated n-grams for model based testing,27
Invariant-Based Automatic Testing of Modern Web Applications,133
Invariant-based automatic testing of AJAX user interfaces,243
Investigating Country Differences in Mobile App User Behavior and Challenges for Software Engineering,106
"Is ""better data"" better than ""better data miners""?: on the benefits of tuning SMOTE for defect prediction",33
Is operator-based mutant selection superior to random mutant selection?,96
Is spreadsheet ambiguity harmful? detecting and repairing spreadsheet smells due to ambiguous computation,30
Is the cure worse than the disease? overfitting in automated program repair,136
Is there a mismatch between real-world feature models and product-line research?,15
Is this class thread-safe? inferring documentation using graph-based learning,2
"It's not a bug, it's a feature: how misclassification impacts bug prediction",248
Iterative distribution-aware sampling for probabilistic symbolic execution,11
Iterative mining of resource-releasing specifications,23
J-Orchestra: Enhancing Java programs with distribution capabilities,59
JFlow: practical refactorings for flow-based parallelism,5
JITProf: pinpointing JIT-unfriendly JavaScript code,46
Jalangi: a selective record-replay and dynamic analysis framework for JavaScript,190
Join point interfaces for safe and flexible decoupling of aspects,45
Jumping through hoops: why do Java developers struggle with cryptography APIs?,68
KATCH: high-coverage testing of software patches,76
Keeping the Development Environment Up to Date—A Study of the Situated Practices of Appropriating the Eclipse IDE,8
Key factors for adopting inner source,47
Keyword Search for Building Service-Based Systems,11
Kmax: finding all configurations of Kbuild makefiles statically,6
LACE2: better privacy-preserving data sharing for cross project defect prediction,41
LAMP: data provenance for graph based machine learning algorithms through derivative computation,3
LASE: locating and applying systematic edits by learning from examples,131
LEAKPOINT: pinpointing the causes of memory leaks,78
Language Inclusion Checking of Timed Automata with Non-Zenoness,0
Language-Independent and Automated Software Composition: The FeatureHouse Experience,103
Large-scale analysis of framework-specific exceptions in Android apps,19
Large-scale study of substitutability in the presence of effects,0
Lattice-Based Sampling for Path Property Monitoring,2
Launch-mode-aware context-sensitive activity transition analysis,5
Learn&Fuzz: machine learning for input fuzzing,90
Learning API usages from bytecode: a statistical approach,22
Learning Assumptions for CompositionalVerification of Timed Systems,18
Learning Communicating Automata from MSCs,25
Learning Project Management Decisions: A Case Study with Case-Based Reasoning versus Data Farming,6
Learning Weighted Assumptions for Compositional Verification of Markov Decision Processes,6
Learning a Metric for Code Readability,187
Learning a dual-language vector space for domain-specific cross-lingual question retrieval,15
Learning combinatorial interaction test generation strategies using hyperheuristic search,69
Learning from examples to improve code completion systems,252
Learning operational requirements from goal models,88
Learning revised models for planning in adaptive systems,50
Learning syntactic program transformations from examples,67
Learning to log: helping developers make informed logging decisions,73
Learning to prioritize test programs for compiler testing,14
Learning to sample: exploiting similarities across environments to learn performance models for configurable systems,7
Less is More: Estimating Probabilistic Rewards over Partial System Explorations,4
Leveraging existing tests in automated test generation for web applications,53
Leveraging program analysis to reduce user-perceived latency in mobile applications,8
Leveraging program equivalence for adaptive program repair: models and first results,167
Leveraging syntax-related code for automated program repair,42
Leveraging test generation and specification mining for automated bug detection without false positives,57
Liability in software engineering: overview of the LISE approach and illustration on a case study,20
LibD: scalable and precise third-party library detection in android markets,43
License integration patterns: Addressing license mismatches in component-based development,113
Lifting model transformations to product lines,39
Lightweight adaptive filtering for efficient learning and updating of probabilistic models,35
Lightweight fault-localization using multiple coverage types,284
"Lightweight, Obfuscation-Resilient Detection and Family Identification of Android Malware",22
Linear Programming as a Baseline for Software Effort Estimation,7
Linear and Branching System Metrics,77
Linking Model-Driven Development and Software Architecture: A Case Study,69
Linking e-mails and source code artifacts,150
Listening to programmers Taxonomies and characteristics of comments in operating system code,47
Live API documentation,150
Local versus Global Lessons for Defect Prediction and Effort Estimation,160
Local vs. global models for effort estimation and defect prediction,124
Local-based active classification of test report to assist crowdsourced testing,25
Localization of concurrency bugs using shared memory access pairs,10
Localizing SQL faults in database applications,29
Locating Need-to-Externalize Constant Strings for Software Internationalization with Generalized String-Taint Analysis,5
Locating Software Faults Based on Minimum Debugging Frontier Set,5
Locating need-to-translate constant strings for software internationalization,18
LockPeeker: detecting latent locks in Java APIs,5
Locking discipline inference and checking,9
Locus: locating bugs from software changes,35
Loopster: static loop termination analysis,1
Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens,15
MADMatch: Many-to-Many Approximate Diagram Matching for Design Comparison,23
MAHAKIL: Diversity Based Oversampling Approach to Alleviate the Class Imbalance Issue in Software Defect Prediction,43
MIMIC: locating and understanding bugs by analyzing mimicked executions,21
MINTS: A general framework and tool for supporting test-suite minimization,99
MODE: automated neural network model debugging via state differential analysis and input selection,3
MOSES: A Framework for QoS Driven Runtime Adaptation of Service-Oriented Systems,171
MSeer: an advanced technique for locating multiple bugs in parallel,7
MSeqGen: object-oriented unit-test generation via mining source code,92
Machine learning-based detection of open source license exceptions,10
Machine-learning-guided selectively unsound static analysis,14
MagicFuzzer: scalable deadlock detection for large-scale applications,68
Maintaining Architecture-Implementation Conformance to Support Architecture Centrality: From Single System to Product Line Development,4
Maintaining and evolving GUI-directed test scripts,171
Maintaining invariant traceability through bidirectional transformations,46
Making CEGAR More Efficient in Software Model Checking,17
Making malory behave maliciously: targeted fuzzing of android execution environments,26
Making offline analyses continuous,20
Making system user interactive tests repeatable: when and what should we control?,19
Making web applications more energy efficient for OLED smartphones,93
Managing Technical Debt in Enterprise Software Packages,24
Managing non-functional uncertainty via model-driven adaptivity,85
Manual refactoring changes with automated refactoring validation,43
Many-Objective Software Remodularization Using NSGA-III,96
"Mapping Bug Reports to Relevant Files: A Ranking Model, a Fine-Grained Benchmark, and Feature Evaluation",24
Marple: Detecting faults in path segments using automatically generated analyses,4
Matching and Merging of Variant Feature Specifications,32
Matching dependence-related queries in the system dependence graph,44
Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques,37
Measure it? Manage it? Ignore it? software practitioners and technical debt,96
Measuring Code Quality to Improve Specification Mining,39
Measuring Program Comprehension: A Large-Scale Field Study with Professionals,18
"Measuring complexity, effectiveness and efficiency in software course projects",14
Measuring neural efficiency of program comprehension,22
Measuring program comprehension: a large-scale field study with professionals,18
Measuring software redundancy,21
Measuring the Discriminative Power of Object-Oriented Class Cohesion Metrics,65
Measuring the Impact of Code Dependencies on Software Architecture Recovery Techniques,14
Measuring the cost of regression testing in practice: a study of Java projects using continuous integration,25
Measuring the strength of information flows in programs,44
Measuring the structural complexity of feature models,25
MemFix: static analysis-based repair of memory deallocation errors for C,3
MemInsight: platform-independent memory debugging for JavaScript,20
Metadata invariants: checking and inferring metadata coding conventions,15
Metamorphic Testing for Software Quality Assessment: A Study of Search Engines,53
Metamorphic Testing of RESTful Web APIs,11
Metamorphic model-based testing applied on NASA DAT: an experience report,37
Method and developer characteristics for effective agile method tailoring: A study of XP expert opinion,122
Methodbook: Recommending Move Method Refactorings via Relational Topic Models,95
MiL testing of highly configurable continuous controllers: scalable search using surrogate models,12
Micro execution,38
Migrating cascading style sheets to preprocessors by introducing mixins,9
Mimic: computing models for opaque code,19
Mind the gap: assessing the conformance of software traceability to relevant guidelines,51
Minimizing CPU time shortage risks in integrated embedded software,5
Mining API mapping for language migration,113
Mining Crosscutting Concerns through Random Walks,13
Mining Privacy Goals from Privacy Policies Using Hybridized Task Recomposition,16
Mining SQL injection and cross site scripting vulnerabilities using hybrid program analysis,76
Mining Semantic Loop Idioms,6
Mining Sequences of Developer Interactions in Visual Studio for Usage Smells,17
Mining Unit Tests for Discovery and Migration of Math APIs,4
Mining Version Histories for Detecting Code Smells,123
Mining Workflow Models from Web Applications,7
Mining apps for abnormal usage of sensitive data,155
Mining behavior models from enterprise web applications,49
Mining behavior models from user-intensive web applications,68
Mining billions of AST nodes to study actual and potential usage of Java language features,66
Mining branching-time scenarios,32
Mining configuration constraints: static analyses and empirical results,104
Mining exception-handling rules as sequence association rules,111
Mining file histories: should we consider branches?,4
Mining fine-grained code changes to detect unknown change patterns,73
Mining implicit design templates for actionable code reuse,5
"Mining interprocedural, data-oriented usage patterns in JavaScript web applications",16
Mining sandboxes,28
Mining succinct predicated bug signatures,21
MintHint: automated synthesis of repair hints,70
Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation,7
MobiPlay: a remote execution based record-and-replay tool for mobile applications,37
Model Checking Probabilistic and Stochastic Extensions of the π-Calculus,32
Model Checking Semantically Annotated Services,40
Model Checking Software with First Order Logic Specifications Using AIG Solvers,2
Model Checking Timed and Stochastic Properties with CSL^{TA},98
Model Transformation Modularization as a Many-Objective Optimization Problem,21
Model based test validation and oracles for data acquisition systems,10
Model checking distributed systems by combining caching and process checkpointing,12
Model checking lots of systems: efficient verification of temporal properties in software product lines,308
Model evolution by run-time parameter adaptation,276
"Model transformation languages under a magnifying glass: a controlled experiment with Xtend, ATL, and QVT",1
Model-Based Self-Aware Performance and Resource Management Using the Descartes Modeling Language,38
Model-Based Test Oracle Generation for Automated Unit Testing of Agent Systems,53
Model-Transformation Design Patterns,48
Model-based synthesis of control software from system-level formal specifications,22
Model-based whitebox fuzzing for program binaries,44
Model-driven run-time enforcement of complex role-based access control policies,1
"Model-level, platform-independent debugging in the context of the model-driven development of real-time systems",12
Modeling Human-in-the-Loop Security Analysis and Decision-Making Processes,7
Modeling Product Line Software Assets Using Domain-Specific Kits,14
Modeling and verification of evolving cyber-physical spaces,15
Modeling and verifying hierarchical real-time systems using stateful timed CSP,66
Modeling readability to improve unit tests,46
"Modify, enhance, select: co-evolution of combinatorial models and test plans",1
Modular Software Model Checking for Distributed Systems,26
Modular aspect-oriented design with XPIs,56
Modular string-sensitive permission analysis with demand-driven precision,37
Modular verification of interrupt-driven software,6
Monitor-Based Instant Software Refactoring,35
Monitoring Data Usage in Distributed Systems,19
Monitoring probabilistic properties,43
More accurate recommendations for method-level changes,2
More effective interpolations in software model checking,3
Morpheus: variability-aware refactoring in the wild,34
Move-optimized source code tree differencing,20
Moving into a new software project landscape,115
Multi-Criteria Code Refactoring Using Search-Based Software Engineering: An Industrial Case Study,38
Multi-Objective Optimization of Energy Consumption of GUIs in Android Apps,2
Multi-Objective Quality-Driven Service Selection—A Fully Polynomial Time Approximation Scheme,38
Multi-Step Learning and Adaptive Search for Learning Complex Model Transformations from Examples,15
Multi-granular conflict and dependency analysis in software engineering based on graph transformation,6
Multi-objective integer programming approaches for solving optimal feature selection problem: a new perspective on multi-objective optimization problems in SBSE,0
Multi-objective optimization in rule-based design space exploration,43
Multi-objective software effort estimation,71
Multi-objective test report prioritization using image understanding,23
MultiSE: multi-path symbolic execution using value summaries,69
Mutable Protection Domains: Adapting System Fault Isolation for Reliability and Efficiency,10
Mutation Operators for Spreadsheets,73
Mutation-Driven Generation of Unit Tests and Oracles,330
N-way model merging,46
NAR-miner: discovering negative association rules from code for bug detection,0
NLP-KAOS for Systems Goal Elicitation: Smart Metering System Case Study,23
Name-Based Analysis of Equally Typed Method Arguments,5
Navigating the maze: the impact of configurability in bioinformatics software,4
NeedFeed: taming change notifications by modeling code relevance,15
Nemo: multi-criteria test-suite minimization with integer nonlinear programming,3
Neural-augmented static analysis of Android communication,2
Neural-machine-translation-based commit message generation: how far are we?,8
Neuro-symbolic program corrector for introductory programming assignments,9
"No PAIN, no gain?: the utility of PArallel fault INjections",23
NoFAQ: synthesizing command repairs from examples,8
Noise and heterogeneity in historical build data: an empirical study of Travis CI,5
Nomen est omen: exploring and exploiting similarities between argument and parameter names,15
Nopol: Automatic Repair of Conditional Statement Bugs in Java Programs,140
Not going to take this anymore: multi-objective overtime planning for software engineering projects,61
O2O service composition with social collaboration,2
OASIS: prioritizing static analysis warnings for Android apps based on app user reviews,5
OBEY: Optimal Batched Refactoring Plan Execution for Class Responsibility Redistribution,6
Object-centric debugging,62
Observable modified Condition/Decision coverage,40
On Accelerating Source Code Analysis at Massive Scale,2
On Event-Based Middleware for Location-Aware Mobile Applications,34
On Fault Representativeness of Software Fault Injection,150
On adopting linters to deal with performance concerns in Android apps,2
On cross-stack configuration errors,11
On essential configuration complexity: measuring interactions in highly-configurable systems,58
On evidence preservation requirements for forensic-ready systems,1
On software component co-installability,31
"On the ""naturalness"" of buggy code",89
"On the Accuracy, Efficiency, and Reusability of Automated Test Oracles for Android Devices",40
On the Asymptotic Behavior of Adaptive Testing Strategy for Software Reliability Assessment,23
On the Composability of Design Patterns,10
On the Comprehension of Program Comprehension,98
On the Distribution of Bugs in the Eclipse System,47
On the Effectiveness of Contracts as Test Oracles in the Detection and Diagnosis of Functional Faults in Concurrent Object-Oriented Software,9
On the Evolution of Services,115
On the Positive Effect of Reactive Programming on Software Comprehension: An Empirical Study,14
On the Semantics of Distributed Reactive Programming: The Cost of Consistency,9
On the Use of Hidden Markov Model to Predict the Time to Fix Bugs,4
On the Value of Ensemble Effort Estimation,187
On the analysis of evolution of software artefacts and programs,1
On the dichotomy of debugging behavior among programmers,10
On the impact of UML analysis models on source-code comprehensibility and modifiability,31
On the limits of mutation reduction strategies,27
On the naturalness of software,405
On the relationship between process maturity and geographic distribution: an empirical analysis of their impact on software quality,50
On the scalability of Linux kernel maintainers' work,3
"On the techniques we create, the tools we build, and their misalignments: a study of KLEE",11
On the use of delta debugging to reduce recordings and facilitate debugging of web applications,19
On the use of hidden Markov model to predict the time to fix bugs,4
On the value of user preferences in search-based software engineering: a case study in software product lines,187
On-demand test suite reduction,68
One size does not fit all: an empirical study of containerized continuous deployment workflows,1
Online Reliability Prediction via Motifs-Based Dynamic Bayesian Networks for Service-Oriented Systems,13
Online app review analysis for identifying emerging issues,11
Online inference and enforcement of temporal properties,101
"Open source barriers to entry, revisited: a sociotechnical perspective",22
Open source-style collaborative development practices in commercial projects using GitHub,49
Operator-based and random mutant selection: better together,56
Optimized Resource Allocation for Software Release Planning,58
Optimizing Ordered Throughput Using Autonomic Cloud Bursting Schedulers,26
Optimizing customized program coverage,11
Optimizing energy consumption of GUIs in Android apps: a multi-objective approach,62
Optimizing selection of competing services with probabilistic hierarchical refinement,13
Optimizing test placement for module-level regression testing,11
Optimizing test prioritization via test distribution analysis,1
Oracle-guided component-based program synthesis,327
Oracles for Distributed Testing,33
Oracles for Testing Software Timeliness with Uncertainty,0
Oreo: detection of clones in the twilight zone,13
Organizing self-organizing teams,119
Overcoming open source project entry barriers with a portal for newcomers,49
Overcoming the challenges in cost estimation for distributed software projects,33
P3: partitioned path profiling,5
PAC learning-based verification and model synthesis,11
PARTI: a multi-interval theory solver for symbolic execution,1
PATDroid: permission-aware GUI testing of Android,15
PEoPL: projectional editing of product lines,10
PFix: fixing concurrency bugs based on memory access patterns,1
PIEtrace: platform independent executable trace,4
PLASMA: a plan-based layered architecture for software model-driven adaptation,86
PRADA: prioritizing android devices for apps by mining large-scale usage data,29
PaMpeR: proof method recommendation system for Isabelle/HOL,4
"Pair Programming and Software Defects--A Large, Industrial Case Study",63
Palantir: Early Detection of Development Conflicts Arising from Parallel Code Changes,89
Parallel Algorithms for Generating Distinguishing Sequences for Observable Non-deterministic FSMs,6
Parallel Algorithms for Testing Finite State Machines:Generating UIO Sequences,13
Parallel Performance Problems on Shared-Memory Multicore Systems: Taxonomy and Observation,6
Parallel bug-finding in concurrent programs via reduced interleaving instances,6
Parameterized model counting for string and numeric constraints,1
Parsimony: an IDE for example-guided synthesis of lexers and parsers,2
Partial constraint checking for context consistency in pervasive computing,73
Partial evaluation of model transformations,16
Partial models: towards modeling and reasoning with uncertainty,113
Partition-based regression verification,42
Patch verification via multiversion interprocedural control flow graphs,21
Path exploration based on symbolic output,45
Path sensitive static analysis of web applications for remote code execution vulnerability detection,50
Path- and index-sensitive string analysis based on monadic second-order logic,69
Path-based function embedding and its application to error-handling specification mining,6
Patterns of Knowledge in API Reference Documentation,82
"Peer Review on Open-Source Software Projects: Parameters, Statistical Models, and Theory",52
PerLa: A Language and Middleware Architecture for Data Management and Integration in Pervasive Information Systems,64
Perceived language complexity in GitHub issue discussions and their effect on issue resolution,9
PerfLearner: learning from bug reports to understand and generate performance test frames,1
Performance Specification and Evaluation with Unified Stochastic Probes and Fluid Analysis,32
Performance comprehension at WiredTiger,0
Performance debugging in the large via mining millions of stack traces,144
Performance diagnosis for inefficient loops,14
Performance issues and optimizations in JavaScript: an empirical study,38
Performance regression testing target prioritization via performance risk analysis,37
Performance-influence models for highly configurable systems,103
Perses: syntax-guided program reduction,7
Personalized Reliability Prediction of Web Services,78
Personalized defect prediction,122
Pert: The Application-Aware Tailoring of Java Object Persistence,4
Perturbation analysis of stochastic systems with empirical distribution parameters,13
Phys: probabilistic physical unit assignment and inconsistency detection,0
Plat_Forms: A Web Development Platform Comparison by an Exploratory Experiment Searching for Emergent Platform Properties,28
Platys: An Active Learning Framework for Place-Aware Application Development and Its Evaluation,24
Pointcut Rejuvenation: Recovering Pointcut Expressions in Evolving Aspect-Oriented Software,26
PorchLight: a tag-based approach to bug triaging,25
Portfolio: Searching for relevant functions and their usages in millions of lines of code,54
Potential biases in bug localization: do they matter?,32
Power-Law Distributions of Component Size in General Software Systems,34
PrIMe: A methodology for developing provenance-aware applications,76
Practical Combinatorial Interaction Testing: Empirical Findings on Efficiency and Early Fault Detection,47
Practical fault localization for dynamic web applications,91
Practical guidelines for change recommendation using association rule mining,12
Practical isolation of failure-inducing changes for debugging regression faults,22
Practical static analysis of JavaScript applications in the presence of frameworks and libraries,101
Precise Calling Context Encoding,60
Precise concolic unit testing of C programs using extended units and symbolic alarm filtering,6
Precise condition synthesis for program repair,91
Precise memory leak detection for java software using container profiling,13
Precise semantic history slicing through dynamic delta refinement,8
Precision reuse for efficient regression verification,36
Precomputing possible configuration error diagnoses,73
Predicting Consistency-Maintenance Requirement of Code Clonesat Copy-and-Paste Time,8
Predicting Delivery Capability in Iterative Software Development,10
Predicting Future Developer Behavior in the IDE Using Topic Models,5
Predicting Node failure in cloud service systems,2
Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model,69
Predicting Query Quality for Applications of Text Retrieval to Software Engineering Tasks,13
Predicting Vulnerable Software Components via Text Mining,122
Predicting build failures using social network analysis on developer communication,204
Predicting faults using the complexity of code changes,485
Predicting performance via automated feature-interaction detection,154
Predicting recurring crash stacks,30
Predicting relevance of change recommendations,4
Predicting semantically linkable knowledge in developer online forums via convolutional neural network,57
Prediction of atomic web services reliability based on k-means clustering,38
PrefFinder: getting the right preference in configurable software systems,20
Presence-condition simplification in highly configurable systems,27
Prevalence of coincidental correctness and mitigation of its impact on fault localization,50
Preventing Defects: The Impact of Requirements Traceability Completeness on Software Quality,25
Preventing Temporal Violations in Scientific Workflows: Where and How,58
Preventing database deadlocks in applications,17
Prioritizing browser environments for web application test execution,0
Prioritizing tests for fault localization through ambiguity group reduction,56
Privacy and utility for defect prediction: experiments with MORPH,42
Privacy preserving via interval covering based subclass division and manifold learning based bi-directional obfuscation for effort estimation,4
ProEva: runtime proactive performance evaluation based on continuous-time markov chains,6
"Proactive Self-Adaptation for Improving the Reliability of Mission-Critical, Embedded, and Mobile Software",17
Proactive and Reactive Runtime Service Discovery: A Framework and Its Evaluation,34
Proactive self-adaptation under uncertainty: a probabilistic model checking approach,87
Probabilistic Interface Automata,0
Probabilistic Model Checking of Regenerative Concurrent Systems,20
Probabilistic environments in the quantitative analysis of (non-probabilistic) behaviour models,11
Probabilistic model checking of perturbed MDPs with applications to cloud computing,3
Probing for requirements knowledge to stimulate architectural thinking,5
Process Aspects and Social Dynamics of Contemporary Code Review: Insights from Open Source Development and Industrial Practice at Microsoft,22
Program Behavior Discovery and Verification: A Graph Grammar Approach,34
Program Characterization Using Runtime Values and Its Application to Software Plagiarism Detection,22
Program analysis for secure big data processing,17
Program splicing,3
Program synthesis using natural language,33
Program transformations to fix C integers,57
Programmer-Friendly Refactoring Errors,17
Programmers' build errors: a case study (at google),85
Programming not only by example,0
Programming pervasive and mobile computing applications: The TOTA approach,212
Promoting secondary orders of event pairs in randomized scheduling using a randomized stride,1
Proofs from Tests,179
Propagating configuration decisions with modal implication graphs,5
Property differencing for incremental checking,30
Prove it! Inferring Formal Proof Scripts from CafeOBJ Proof Scores,0
Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies,105
Proving MCAPI executions are correct using SMT,8
Putback-based bidirectional model transformations,0
Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle,17
Puzzle-based automatic testing: bringing humans into the loop by solving puzzles,39
QTEP: quality-aware test case prioritization,19
QVM: An Efficient Runtime for Detecting Defects in Deployed Systems,30
QoS Assurance for Dynamic Reconfiguration of Component-Based Software Systems,32
Qos-driven runtime adaptation of service oriented architectures,141
Quality Requirements in Industrial Practice—An Extended Interview Study at Eleven Companies,67
Quality and productivity outcomes relating to continuous integration in GitHub,141
Quality experience: a grounded theory of successful agile projects without dedicated testers,12
Quality of service profiling,219
Quality-Aware Service Selection for Service-Based Systems Based on Iterative Multi-Attribute Combinatorial Auction,71
Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya,25
Quantifying developers' adoption of security tools,34
Quantifying the Effect of Code Smells on Maintenance Effort,211
Quantitative Evaluation of Model-Driven Performance Analysis and Simulation of Component-Based Architectures,61
Query quality prediction and reformulation for source code search: the refoqus tool,14
Query-based configuration of text retrieval solutions for software engineering tasks,24
Questions developers ask while diagnosing potential security vulnerabilities with static analysis,35
RADAR: a lightweight tool for requirements and architecture decision analysis,13
RClassify: classifying race conditions in web applications via deterministic replay,8
RECONTEST: effective regression testing of concurrent programs,25
RELAI Testing: A Technique to Assess and Improve Software Reliability,12
REPENT: Analyzing the Nature of Identifier Renamings,37
RERAN: timing- and touch-sensitive record and replay for Android,263
RESISTing reliability degradation through proactive reconfiguration,31
RESTful API Automated Test Case Generation with EvoMaster,3
RETracer: triaging crashes by reverse execution from partial memory dumps,28
RFC-directed differential testing of certificate validation in SSL/TLS implementations,2
Radius aware probabilistic testing of deadlocks with guarantees,3
Random Testing: Theoretical Results and Practical Implications,134
Range Fixes: Interactive Error Resolution for Software Configuration,22
Ranger: parallel analysis of alloy models by range partitioning,14
Ranking and Clustering Software Cost Estimation Models through a Multiple Comparisons Algorithm,109
Rate-Based Queueing Simulation Model of Open Source Software Debugging Activities,11
ReCBuLC: reproducing concurrency bugs using local clocks,11
ReScue: crafting regular expression DoS attacks,3
Reasoning About Identifier Spaces: How to Make Chord Correct,7
Reasoning about edits to feature models,355
"Reasoning about the Reliability of Diverse Two-Channel Systems in Which One Channel Is ""Possibly Perfect""",39
Recommending Adaptive Changes for Framework Evolution,199
Recommending Who to Follow in the Software Engineering Twitter Space,2
Recommending and localizing change requests for mobile apps based on user reviews,48
Recommending relevant classes for bug reports using multi-objective search,16
Recommending source code for use in rapid software prototypes,55
Recomputing Coverage Information to Assist Regression Testing,63
Reconciling manual and automatic refactoring,90
"Recovering clear, natural identifiers from obfuscated JS names",21
Recovering traceability links between an API and its learning resources,108
Recurring bug fixes in object-oriented programs,118
Redefining prioritization: continuous prioritization for continuous integration,8
Reducer-based construction of conditional verifiers,5
Reducing Features to Improve Code Change-Based Bug Prediction,154
Reducing Masking Effects in CombinatorialInteraction Testing: A Feedback DrivenAdaptive Approach,24
Reducing Unauthorized Modification of Digital Objects,8
Reducing combinatorics in GUI testing of android applications,54
Reducing confounding bias in predicate-level statistical debugging metrics,35
Reducing interactive refactoring effort via clustering-based multi-objective search,1
Reducing the effort of bug report triage: Recommenders for development-oriented decisions,208
Refactoring Inspection Support for Manual Refactoring Edits,3
Refactoring Multi-Level Models,2
Refactoring for reentrancy,77
